,Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,available beds,County labels,Facility Label,Beds Required('Predicted')
16008,2007-01-01, Los Angeles,106190534.0,OLYMPIA MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,102.0,1875.0,120,537.0,17,540,536.9999999999986
16022,2007-01-01, Los Angeles,106190538.0,COMMUNITY AND MISSION HSP OF HNTG PARK-FLORENCE,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,119,-1.8189894035458565e-12
16036,2007-01-01, Los Angeles,106190541.0,MONROVIA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,0.0,0.0,0,1460.0,17,509,1459.999999999999
16050,2007-01-01, Los Angeles,106190547.0,MONTEREY PARK HOSPITAL,General Acute Care,Intensive Care,1460.0,88.0,602.0,246,1192.0,17,512,1191.9999999999986
16064,2007-01-01, Los Angeles,106190552.0,MOTION PICTURE AND TELEVISION HOSPITAL,General Acute Care,Intensive Care,1460.0,0.0,0.0,0,1460.0,17,515,1459.999999999999
16078,2007-01-01, Los Angeles,106190555.0,CEDARS SINAI MEDICAL CENTER,General Acute Care,Intensive Care,43800.0,1466.0,20688.0,6336,30914.0,17,76,30914.000000000015
16092,2007-01-01, Los Angeles,106190568.0,NORTHRIDGE HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,417.0,4852.0,716,5041.0,17,531,5041.000000000002
16106,2007-01-01, Los Angeles,106190570.0,NORWALK COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,129.0,2070.0,201,450.0,17,532,449.9999999999985
16120,2007-01-01, Los Angeles,106190587.0,PACIFIC HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,2920.0,704.0,3768.0,824,680.0,17,549,679.9999999999983
16134,2007-01-01, Los Angeles,106190599.0,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,General Acute Care,Intensive Care,2555.0,74.0,2002.0,112,739.0,17,577,738.999999999999
16148,2007-01-01, Los Angeles,106190630.0,POMONA VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,12530.0,338.0,5880.0,1085,8073.0,17,572,8073.000000000004
16162,2007-01-01, Los Angeles,106190631.0,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,General Acute Care,Intensive Care,8760.0,1697.0,4971.0,1844,7330.0,17,574,7330.000000000001
16176,2007-01-01, Los Angeles,106190636.0,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,General Acute Care,Intensive Care,4380.0,207.0,4052.0,407,942.0,17,103,941.9999999999989
16190,2007-01-01, Los Angeles,106190646.0,KAISER FND HOSP - MENTAL HEALTH CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,302,-1.8189894035458565e-12
16204,2007-01-01, Los Angeles,106190661.0,CITY OF ANGELS MEDICAL CENTER-DOWNTOWN CAMPUS,General Acute Care,Intensive Care,4380.0,1.0,738.0,252,3895.0,17,104,3895.0000000000005
16218,2007-01-01, Los Angeles,106190673.0,SAN DIMAS COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,210.0,1143.0,305,832.0,17,621,831.9999999999985
16232,2007-01-01, Los Angeles,106190680.0,LITTLE COMPANY OF MARY - SAN PEDRO HOSPITAL,General Acute Care,Intensive Care,4380.0,233.0,2751.0,333,2195.0,17,425,2194.9999999999995
16247,2007-01-01, Los Angeles,106190681.0,MIRACLE MILE MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,502,-1.8189894035458565e-12
16261,2007-01-01, Los Angeles,106190687.0,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HO,General Acute Care,Intensive Care,8030.0,322.0,6098.0,987,3241.0,17,645,3241.0000000000005
16276,2007-01-01, Los Angeles,106190696.0,PACIFICA HOSPITAL OF THE VALLEY,General Acute Care,Intensive Care,2555.0,178.0,1936.0,0,797.0,17,553,796.9999999999991
16290,2007-01-01, Los Angeles,106190708.0,SHERMAN OAKS HOSPITAL,General Acute Care,Intensive Care,2920.0,225.0,3043.0,522,624.0,17,679,623.9999999999984
16304,2007-01-01, Los Angeles,106190712.0,SHRINERS HOSPITAL FOR  CHILDREN - L.A.,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,682,-1.8189894035458565e-12
16318,2007-01-01, Los Angeles,106190754.0,ST. FRANCIS MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,2621.0,12237.0,0,3524.0,17,716,3524.0000000000036
16332,2007-01-01, Los Angeles,106190756.0,ST. JOHNS HEALTH CENTER,General Acute Care,Intensive Care,12775.0,888.0,6552.0,1320,8431.0,17,722,8431.000000000004
16347,2007-01-01, Los Angeles,106190758.0,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,General Acute Care,Intensive Care,13870.0,548.0,9148.0,1685,6955.0,17,588,6955.000000000003
16361,2007-01-01, Los Angeles,106190766.0,COAST PLAZA DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,112.0,1217.0,245,600.0,17,111,599.9999999999984
16373,2007-01-01, Los Angeles,106190818.0,VERDUGO HILLS HOSPITAL,General Acute Care,Intensive Care,2190.0,180.0,1593.0,318,1095.0,17,838,1094.9999999999986
16376,2007-01-01, Los Angeles,106190782.0,TARZANA TREATMENT CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,773,-1.8189894035458565e-12
16390,2007-01-01, Los Angeles,106190784.0,TEMPLE COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,64.0,874.0,25,1405.0,17,787,1404.999999999999
16404,2007-01-01, Los Angeles,106190796.0,UCLA MEDICAL CENTER,General Acute Care,Intensive Care,25550.0,440.0,23460.0,3601,6131.0,17,808,6131.000000000004
16418,2007-01-01, Los Angeles,106190812.0,VALLEY PRESBYTERIAN HOSPITAL,General Acute Care,Intensive Care,10950.0,612.0,5453.0,1359,7468.0,17,833,7468.000000000002
16432,2007-01-01, Los Angeles,106190814.0,HOLLYWOOD COMMUNITY HOSPITAL OF VAN NUYS,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,271,-1.8189894035458565e-12
16458,2007-01-01, Los Angeles,106190854.0,LOS ANGELES METROPOLITAN MEDICAL CENTER,General Acute Care,Intensive Care,1460.0,53.0,970.0,87,630.0,17,452,629.9999999999986
16472,2007-01-01, Los Angeles,106190857.0,"DOCTORS HOSPITAL OF WEST COVINA, INC",General Acute Care,Intensive Care,1095.0,0.0,0.0,0,1095.0,17,167,1094.9999999999989
16486,2007-01-01, Los Angeles,106190859.0,WEST HILLS HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,158.0,2816.0,894,1156.0,17,853,1155.9999999999982
16500,2007-01-01, Los Angeles,106190878.0,WHITE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,14235.0,526.0,6678.0,541,8624.0,17,857,8624.000000000004
16514,2007-01-01, Los Angeles,106190883.0,WHITTIER HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,5840.0,332.0,3478.0,225,2919.0,17,858,2919.0000000000005
16528,2007-01-01, Los Angeles,106190930.0,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,600,-1.8189894035458565e-12
16542,2007-01-01, Los Angeles,106190949.0,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,101.0,1993.0,510,808.0,17,263,807.9999999999984
16556,2007-01-01, Los Angeles,106191014.0,LANTERMAN DEVELOPMENTAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,421,-1.8189894035458565e-12
16570,2007-01-01, Los Angeles,106191216.0,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",General Acute Care,Intensive Care,4745.0,87.0,3336.0,554,2050.0,17,826,2049.999999999999
16584,2007-01-01, Los Angeles,106191225.0,TOM REDGATE MEMORIAL RECOVERY CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,795,-1.8189894035458565e-12
16598,2007-01-01, Los Angeles,106191227.0,LOS ANGELES CO HARBOR-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,16060.0,449.0,10661.0,1819,7667.0,17,445,7667.000000000004
16612,2007-01-01, Los Angeles,106191228.0,LOS ANGELES CO USC MEDICAL CENTER,General Acute Care,Intensive Care,25910.0,792.0,17965.0,2505,11242.0,17,447,11242.000000000007
16626,2007-01-01, Los Angeles,106191230.0,MARTIN LUTHER KING JR.-HARBOR HOSPITAL,General Acute Care,Intensive Care,12561.0,151.0,2402.0,196,10506.0,17,474,10506.000000000005
16640,2007-01-01, Los Angeles,106191231.0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,15330.0,397.0,4670.0,1059,12116.0,17,451,12116.000000000007
16654,2007-01-01, Los Angeles,106191306.0,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,General Acute Care,Intensive Care,8760.0,74.0,1228.0,65,7671.0,17,415,7671.000000000003
16668,2007-01-01, Los Angeles,106191450.0,KAISER FND HOSP - WOODLAND HILLS,General Acute Care,Intensive Care,4015.0,256.0,2762.0,624,2133.0,17,332,2132.9999999999995
16682,2007-01-01, Los Angeles,106194010.0,AMERICAN RECOVERY CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,24,-1.8189894035458565e-12
16696,2007-01-01, Los Angeles,106194219.0,USC UNIVERSITY HOSPITAL,General Acute Care,Intensive Care,16060.0,158.0,11494.0,1188,5912.0,17,827,5912.000000000003
16710,2007-01-01, Los Angeles,106194967.0,STAR VIEW ADOLESCENT - P H F,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,746,-1.8189894035458565e-12
16724,2007-01-01, Los Angeles,106194981.0,LA CASA PSYCHIATRIC HEALTH FACILITY,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,410,-1.8189894035458565e-12
16738,2007-01-01, Los Angeles,106196035.0,KAISER FND HOSP - BALDWIN PARK,General Acute Care,Intensive Care,4380.0,227.0,3058.0,827,2376.0,17,290,2375.999999999999
16752,2007-01-01, Los Angeles,106196168.0,EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,General Acute Care,Intensive Care,7300.0,266.0,7292.0,1122,1396.0,17,182,1395.9999999999989
16766,2007-01-01, Los Angeles,106196404.0,JOYCE EISENBERG KEEFER MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,17,288,-1.8189894035458565e-12
16780,2007-01-01, Madera,106201281.0,MADERA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,3650.0,199.0,2581.0,687,1955.0,18,461,1954.9999999999989
16794,2007-01-01, Madera,106204019.0,CHILDRENS HOSPITAL CENTRAL CALIFORNIA,General Acute Care,Intensive Care,10220.0,243.0,6576.0,945,4832.0,18,92,4832.000000000002
16808,2007-01-01, Marin,106210992.0,KAISER FND HOSP - SAN RAFAEL,General Acute Care,Intensive Care,4380.0,170.0,2533.0,705,2722.0,19,322,2721.9999999999995
16822,2007-01-01, Marin,106210993.0,KENTFIELD REHABILITATION HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,19,384,-1.8189894035458565e-12
16836,2007-01-01, Marin,106211006.0,MARIN GENERAL HOSPITAL,General Acute Care,Intensive Care,3650.0,173.0,2763.0,627,1687.0,19,468,1686.9999999999989
16850,2007-01-01, Marin,106214034.0,NOVATO COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,151.0,1295.0,348,664.0,19,533,663.9999999999983
16864,2007-01-01, Mariposa,106220733.0,JOHN C FREMONT HEALTHCARE DISTRICT,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,20,280,-1.8189894035458565e-12
16878,2007-01-01, Mendocino,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,49.0,328.0,47,1228.0,21,217,1227.9999999999989
16892,2007-01-01, Mendocino,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL,General Acute Care,Intensive Care,1460.0,179.0,796.0,115,958.0,21,480,957.9999999999986
16906,2007-01-01, Mendocino,106231396.0,UKIAH VALLEY MEDICAL CENTER/HOSPITAL DRIVE,General Acute Care,Intensive Care,2190.0,288.0,1291.0,343,1530.0,21,817,1529.9999999999986
16920,2007-01-01, Merced,106240853.0,DOS PALOS MEMORIAL HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,22,178,-1.8189894035458565e-12
16935,2007-01-01, Merced,106240924.0,MEMORIAL HOSPITAL LOS BANOS,General Acute Care,Intensive Care,1460.0,58.0,609.0,87,996.0,22,476,995.9999999999989
16949,2007-01-01, Merced,106240942.0,MERCY MEDICAL CENTER MERCED-COMMUNITY CAMPUS,General Acute Care,Intensive Care,5840.0,888.0,4518.0,992,3202.0,22,490,3201.9999999999995
16963,2007-01-01, Merced,106240948.0,MERCY MEDICAL CENTER MERCED-DOMINICAN CAMPUS,General Acute Care,Intensive Care,3650.0,0.0,0.0,0,3650.0,22,491,3650.0000000000005
16977,2007-01-01, Merced,106244027.0,MARIE GREEN PSYCHIATRIC CENTER - P H F,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,22,467,-1.8189894035458565e-12
16991,2007-01-01, Modoc,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,23,748,-1.8189894035458565e-12
17005,2007-01-01, Modoc,106250956.0,MODOC MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,23,508,-1.8189894035458565e-12
17019,2007-01-01, Mono,106260011.0,MAMMOTH HOSPITAL,General Acute Care,Intensive Care,730.0,10.0,48.0,32,724.0,24,462,723.9999999999986
17033,2007-01-01, Monterey,106270744.0,COMMUNITY HOSPITAL MONTEREY PENINSULA,General Acute Care,Intensive Care,5475.0,101.0,1248.0,519,4847.0,25,123,4847.000000000001
17047,2007-01-01, Monterey,106270777.0,GEORGE L MEE MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,271.0,481.0,39,1289.0,25,235,1288.999999999999
17061,2007-01-01, Monterey,106270875.0,SALINAS VALLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,134.0,2592.0,659,391.0,25,616,390.99999999999807
17076,2007-01-01, Monterey,106274043.0,NATIVIDAD MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,297.0,2203.0,298,2042.0,25,523,2041.9999999999993
17090,2007-01-01, Napa,106281047.0,QUEEN OF THE VALLEY HOSPITAL - NAPA,General Acute Care,Intensive Care,5840.0,222.0,4291.0,773,2544.0,26,590,2543.9999999999995
17103,2007-01-01, Napa,106281078.0,ST. HELENA HOSPITAL,General Acute Care,Intensive Care,4380.0,141.0,2121.0,439,2839.0,26,718,2838.9999999999995
17117,2007-01-01, Napa,106281297.0,N M HOLDERMAN MEMORIAL HOSPITAL (VETS HOME OF CAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,26,521,-1.8189894035458565e-12
17131,2007-01-01, Nevada,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,91.0,594.0,104,331.0,27,685,330.9999999999983
17145,2007-01-01, Nevada,106291053.0,TAHOE FOREST HOSPITAL,General Acute Care,Intensive Care,2190.0,308.0,1102.0,412,1808.0,27,772,1807.9999999999989
17159,2007-01-01, Orange,106300032.0,CHILDRENS HOSPITAL OF ORANGE COUNTY,General Acute Care,Intensive Care,14634.0,677.0,11429.0,1527,5409.0,28,94,5409.000000000002
17173,2007-01-01, Orange,106300225.0,ORANGE COAST MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,427.0,4993.0,1539,4638.0,28,541,4638.000000000001
17187,2007-01-01, Orange,106301097.0,ANAHEIM GENERAL HOSPITAL,General Acute Care,Intensive Care,4380.0,248.0,2445.0,292,2475.0,28,25,2475.0
17201,2007-01-01, Orange,106301098.0,ANAHEIM MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,8030.0,424.0,5104.0,1324,4674.0,28,28,4674.000000000001
17215,2007-01-01, Orange,106301109.0,ANAHEIM GENERAL HOSPITAL - BUENA PARK CAMPUS,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,26,-1.8189894035458565e-12
17229,2007-01-01, Orange,106301127.0,KINDRED HOSPITAL BREA,General Acute Care,Intensive Care,1460.0,46.0,1127.0,106,485.0,28,402,484.9999999999985
17243,2007-01-01, Orange,106301132.0,KAISER FND HOSP - ANAHEIM,General Acute Care,Intensive Care,4380.0,108.0,876.0,196,3808.0,28,289,3808.0000000000005
17258,2007-01-01, Orange,106301140.0,CHAPMAN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,219.0,1515.0,400,3484.0,28,87,3484.0000000000005
17272,2007-01-01, Orange,106301155.0,COLLEGE HOSPITAL COSTA MESA,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,115,-1.8189894035458565e-12
17286,2007-01-01, Orange,106301167.0,KINDRED HOSPITAL - SANTA ANA,General Acute Care,Intensive Care,2555.0,74.0,2062.0,182,749.0,28,399,748.999999999999
17300,2007-01-01, Orange,106301175.0,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,General Acute Care,Intensive Care,13140.0,551.0,9847.0,1111,4955.0,28,215,4955.000000000002
17314,2007-01-01, Orange,106301188.0,WESTERN MEDICAL CENTER HOSPITAL - ANAHEIM,General Acute Care,Intensive Care,8030.0,434.0,2697.0,386,6153.0,28,856,6153.000000000003
17328,2007-01-01, Orange,106301205.0,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,General Acute Care,Intensive Care,10525.0,167.0,5450.0,1938,7180.0,28,268,7180.000000000002
17342,2007-01-01, Orange,106301209.0,HUNTINGTON BEACH HOSPITAL,General Acute Care,Intensive Care,2190.0,282.0,2259.0,461,674.0,28,274,673.9999999999983
17356,2007-01-01, Orange,106301234.0,LA PALMA INTERCOMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,75.0,600.0,157,1092.0,28,411,1091.9999999999989
17370,2007-01-01, Orange,106301248.0,LOS ALAMITOS MEDICAL CENTER,General Acute Care,Intensive Care,3285.0,306.0,2604.0,401,1388.0,28,444,1387.999999999999
17384,2007-01-01, Orange,106301258.0,COASTAL COMMUNITIES HOSPITAL,General Acute Care,Intensive Care,3285.0,203.0,1701.0,327,2114.0,28,113,2113.9999999999995
17399,2007-01-01, Orange,106301262.0,MISSION HOSPITAL REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,5840.0,169.0,4128.0,1054,2935.0,28,506,2934.9999999999995
17413,2007-01-01, Orange,106301279.0,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,General Acute Care,Intensive Care,17520.0,1007.0,14772.0,2521,6276.0,28,824,6276.000000000001
17427,2007-01-01, Orange,106301283.0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,377.0,3729.0,820,1848.0,28,228,1847.9999999999989
17441,2007-01-01, Orange,106301297.0,PLACENTIA LINDA HOSPITAL,General Acute Care,Intensive Care,1460.0,98.0,798.0,220,980.0,28,569,979.9999999999986
17455,2007-01-01, Orange,106301304.0,NEWPORT BAY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,524,-1.8189894035458565e-12
17469,2007-01-01, Orange,106301317.0,SADDLEBACK MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,11315.0,375.0,6185.0,2046,7551.0,28,613,7551.000000000002
17483,2007-01-01, Orange,106301325.0,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,General Acute Care,Intensive Care,2555.0,135.0,1285.0,397,1802.0,28,615,1801.999999999999
17497,2007-01-01, Orange,106301337.0,SOUTH COAST MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,274.0,1462.0,337,2799.0,28,705,2799.0
17511,2007-01-01, Orange,106301340.0,ST. JOSEPH HOSPITAL - ORANGE,General Acute Care,Intensive Care,11398.0,268.0,3965.0,1023,8724.0,28,727,8724.000000000004
17525,2007-01-01, Orange,106301342.0,ST. JUDE MEDICAL CENTER,General Acute Care,Intensive Care,11680.0,531.0,6971.0,2034,7274.0,28,731,7274.000000000002
17539,2007-01-01, Orange,106301357.0,TUSTIN HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,5475.0,201.0,675.0,209,5210.0,28,805,5210.000000000002
17553,2007-01-01, Orange,106301379.0,WEST ANAHEIM MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,309.0,3622.0,816,1153.0,28,851,1152.9999999999984
17567,2007-01-01, Orange,106301380.0,KINDRED HOSPITAL WESTMINSTER,General Acute Care,Intensive Care,5840.0,126.0,5544.0,456,878.0,28,408,877.9999999999991
17581,2007-01-01, Orange,106301566.0,WESTERN MEDICAL CENTER - SANTA ANA,General Acute Care,Intensive Care,15330.0,2146.0,8836.0,1524,10164.0,28,854,10164.000000000005
17595,2007-01-01, Orange,106301781.0,FAIRVIEW DEVELOPMENTAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,208,-1.8189894035458565e-12
17609,2007-01-01, Orange,106304039.0,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - WARNER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,216,-1.8189894035458565e-12
17623,2007-01-01, Orange,106304045.0,IRVINE REGIONAL HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,363.0,3254.0,1169,2658.0,28,277,2657.999999999999
17637,2007-01-01, Orange,106304079.0,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,259,-1.8189894035458565e-12
17651,2007-01-01, Orange,106304113.0,CHILDRENS HOSPITAL AT MISSION,General Acute Care,Intensive Care,2920.0,237.0,1205.0,155,2107.0,28,91,2106.9999999999995
17665,2007-01-01, Orange,106304159.0,HEALTHBRIDGE CHILDRENS HOSPITAL-ORANGE,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,28,255,-1.8189894035458565e-12
17679,2007-01-01, Placer,106310791.0,SUTTER AUBURN FAITH HOSPITAL,General Acute Care,Intensive Care,1460.0,115.0,1382.0,465,658.0,29,750,657.9999999999982
17693,2007-01-01, Placer,106311000.0,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,820.0,6414.0,1276,4442.0,29,764,4442.0
17707,2007-01-01, Placer,106314024.0,KAISER FND HOSP - SACRAMENTO/ROSEVILLE-EUREKA,General Acute Care,Intensive Care,7300.0,589.0,5957.0,1450,3382.0,29,316,3381.999999999999
17721,2007-01-01, Placer,106314029.0,TELECARE PLACER COUNTY PSYCHIATRIC HEALTH FACILITY,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,29,779,-1.8189894035458565e-12
17735,2007-01-01, Plumas,106320859.0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,30,187,-1.8189894035458565e-12
17749,2007-01-01, Plumas,106320874.0,INDIAN VALLEY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,30,276,-1.8189894035458565e-12
17763,2007-01-01, Plumas,106320986.0,PLUMAS DISTRICT HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,30,570,-1.8189894035458565e-12
17777,2007-01-01, Plumas,106321016.0,SENECA HEALTHCARE DISTRICT,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,30,660,-1.8189894035458565e-12
17791,2007-01-01, Riverside,106330120.0,"BETTY FORD CENTER AT EISENHOWER, THE",General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,31,54,-1.8189894035458565e-12
17805,2007-01-01, Riverside,106331145.0,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,31,142,-1.8189894035458565e-12
17819,2007-01-01, Riverside,106331152.0,CORONA REGIONAL MEDICAL CENTER-MAIN,General Acute Care,Intensive Care,4854.0,299.0,3005.0,412,2560.0,31,143,2560.0
17833,2007-01-01, Riverside,106331164.0,DESERT REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,8395.0,420.0,5905.0,1638,4548.0,31,163,4548.0
17847,2007-01-01, Riverside,106331168.0,EISENHOWER MEMORIAL HOSPITAL,General Acute Care,Intensive Care,6570.0,210.0,5518.0,1846,3108.0,31,190,3107.999999999999
17861,2007-01-01, Riverside,106331194.0,HEMET VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,6570.0,553.0,5903.0,744,1964.0,31,261,1963.9999999999995
17875,2007-01-01, Riverside,106331216.0,JOHN F KENNEDY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,5840.0,320.0,3331.0,790,3619.0,31,281,3619.0
17889,2007-01-01, Riverside,106331226.0,RIVERSIDE CENTER FOR BEHAVIORAL MEDICINE,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,31,604,-1.8189894035458565e-12
17903,2007-01-01, Riverside,106331288.0,PALO VERDE HOSPITAL,General Acute Care,Intensive Care,1460.0,218.0,803.0,199,1074.0,31,556,1073.9999999999986
17916,2007-01-01, Riverside,106331293.0,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,246.0,3819.0,665,1837.0,31,561,1836.9999999999989
17930,2007-01-01, Riverside,106331312.0,RIVERSIDE COMMUNITY HOSPITAL,General Acute Care,Intensive Care,8030.0,280.0,7092.0,1883,3101.0,31,605,3100.9999999999995
17944,2007-01-01, Riverside,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,179.0,2043.0,451,777.0,31,624,776.9999999999984
17958,2007-01-01, Riverside,106334001.0,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,General Acute Care,Intensive Care,2920.0,340.0,3198.0,883,945.0,31,712,944.9999999999981
17972,2007-01-01, Riverside,106334018.0,MENIFEE VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,2066.0,234.0,1863.0,270,707.0,31,481,706.9999999999985
17986,2007-01-01, Riverside,106334025.0,KAISER FND HOSP - RIVERSIDE,General Acute Care,Intensive Care,4015.0,246.0,2998.0,592,1855.0,31,313,1854.9999999999993
18000,2007-01-01, Riverside,106334048.0,MORENO VALLEY COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1825.0,225.0,1441.0,254,863.0,31,513,862.9999999999987
18014,2007-01-01, Riverside,106334068.0,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,General Acute Care,Intensive Care,2555.0,212.0,2204.0,464,1027.0,31,711,1026.9999999999986
18028,2007-01-01, Riverside,106334457.0,OASIS PSYCHIATRIC HEALTH FACILITY,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,31,536,-1.8189894035458565e-12
18042,2007-01-01, Riverside,106334487.0,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,16060.0,616.0,9522.0,1985,9139.0,31,607,9139.000000000004
18056,2007-01-01, Sacramento,106340913.0,KAISER FND HOSP - SACRAMENTO/ROSEVILLE-MORSE,General Acute Care,Intensive Care,9125.0,549.0,8001.0,1448,3121.0,32,317,3120.999999999999
18070,2007-01-01, Sacramento,106340947.0,MERCY GENERAL HOSPITAL,General Acute Care,Intensive Care,9490.0,0.0,0.0,0,9490.0,32,483,9490.000000000004
